State,Date,Total Cases
Florida,Dec 14 2020,1122943
Florida,Dec 13 2020,1113541
Florida,Dec 12 2020,1105267
Florida,Dec 11 2020,1096430
Florida,Dec 10 2020,1086044
Florida,Dec  9 2020,1074671
Florida,Dec  8 2020,1063444
Florida,Dec  7 2020,1054092
Florida,Dec  6 2020,1046262
Florida,Dec  5 2020,1038746
Florida,Dec  4 2020,1030550
Florida,Dec  3 2020,1020387
Florida,Dec  2 2020,1010445
Florida,Dec  1 2020,999813
Florida,Nov 30 2020,989915
Florida,Nov 29 2020,981271
Florida,Nov 28 2020,974811
Florida,Nov 27 2020,967649
Florida,Nov 26 2020,961527
Florida,Nov 25 2020,954937
Florida,Nov 24 2020,944827
Florida,Nov 23 2020,936744
Florida,Nov 22 2020,928645
Florida,Nov 21 2020,922553
Florida,Nov 20 2020,916080
Florida,Nov 19 2020,907911
Florida,Nov 18 2020,899075
Florida,Nov 17 2020,890133
Florida,Nov 16 2020,882400
Florida,Nov 15 2020,875095
Florida,Nov 14 2020,870591
Florida,Nov 13 2020,860716
Florida,Nov 12 2020,856304
Florida,Nov 11 2020,849572
Florida,Nov 10 2020,844103
Florida,Nov  9 2020,838426
Florida,Nov  8 2020,834162
Florida,Nov  7 2020,830347
Florida,Nov  6 2020,823757
Florida,Nov  5 2020,819416
Florida,Nov  4 2020,814250
Florida,Nov  3 2020,808142
Florida,Nov  2 2020,803786
Florida,Nov  1 2020,799240
Florida,Oct 31 2020,796579
Florida,Oct 30 2020,790112
Florida,Oct 29 2020,787618
Florida,Oct 28 2020,782223
Florida,Oct 27 2020,778073
Florida,Oct 26 2020,774037
Florida,Oct 25 2020,769788
Florida,Oct 24 2020,766474
Florida,Oct 23 2020,764140
Florida,Oct 22 2020,759764
Florida,Oct 21 2020,756075
Florida,Oct 20 2020,750653
Florida,Oct 19 2020,748521
Florida,Oct 18 2020,744941
Florida,Oct 17 2020,743201
Florida,Oct 16 2020,740743
Florida,Oct 15 2020,736770
Florida,Oct 14 2020,733403
Florida,Oct 13 2020,730123
Florida,Oct 12 2020,727290
Florida,Oct 11 2020,724612
Florida,Oct 10 2020,723060
Florida,Oct  9 2020,719442
Florida,Oct  8 2020,717670
Florida,Oct  7 2020,714816
Florida,Oct  6 2020,711562
Florida,Oct  5 2020,709076
Florida,Oct  4 2020,706812
Florida,Oct  3 2020,705439
Florida,Oct  2 2020,703584
Florida,Oct  1 2020,700828
Florida,Sep 30 2020,698179
Florida,Sep 29 2020,695385
Florida,Sep 28 2020,693339
Florida,Sep 27 2020,690158
Florida,Sep 26 2020,689350
Florida,Sep 25 2020,687518
Florida,Sep 24 2020,684754
Florida,Sep 23 2020,681954
Florida,Sep 22 2020,679366
Florida,Sep 21 2020,676786
Florida,Sep 20 2020,674407
Florida,Sep 19 2020,672761
Florida,Sep 18 2020,670269
Florida,Sep 17 2020,666727
Florida,Sep 16 2020,663549
Florida,Sep 15 2020,660290
Florida,Sep 14 2020,657994
Florida,Sep 13 2020,655352
Florida,Sep 12 2020,653580
Florida,Sep 11 2020,651214
Florida,Sep 10 2020,648063
Florida,Sep  9 2020,644423
Florida,Sep  8 2020,641893
Florida,Sep  7 2020,639577
Florida,Sep  6 2020,637778
Florida,Sep  5 2020,635916
Florida,Sep  4 2020,633456
Florida,Sep  3 2020,629803
Florida,Sep  2 2020,626605
Florida,Sep  1 2020,623033
Florida,Aug 31 2020,620538
Florida,Aug 30 2020,613166
Florida,Aug 29 2020,611487
Florida,Aug 28 2020,608887
Florida,Aug 27 2020,605780
Florida,Aug 26 2020,602204
Florida,Aug 25 2020,599040
Florida,Aug 24 2020,595791
Florida,Aug 23 2020,593065
Florida,Aug 22 2020,591020
Florida,Aug 21 2020,588031
Florida,Aug 20 2020,583742
Florida,Aug 19 2020,579129
Florida,Aug 18 2020,574609
Florida,Aug 17 2020,570507
Florida,Aug 16 2020,566659
Florida,Aug 15 2020,563991
Florida,Aug 14 2020,560201
Florida,Aug 13 2020,553960
Florida,Aug 12 2020,547880
Florida,Aug 11 2020,541684
Florida,Aug 10 2020,533639
Florida,Aug  9 2020,527897
Florida,Aug  8 2020,523761
Florida,Aug  7 2020,517659
Florida,Aug  6 2020,509358
Florida,Aug  5 2020,501844
Florida,Aug  4 2020,494294
Florida,Aug  3 2020,488888
Florida,Aug  2 2020,483551
Florida,Aug  1 2020,478754
Florida,Jul 31 2020,471725
Florida,Jul 30 2020,462272
Florida,Jul 29 2020,453408
Florida,Jul 28 2020,443610
Florida,Jul 27 2020,434320
Florida,Jul 26 2020,425210
Florida,Jul 25 2020,416434
Florida,Jul 24 2020,407217
Florida,Jul 23 2020,395236
Florida,Jul 22 2020,382963
Florida,Jul 21 2020,372905
Florida,Jul 20 2020,363262
